kld,val_kld
6.29581650525021e-05,5.624381263623945e-05
6.481678305297263e-05,6.317975604906678e-05
6.528359746314689e-05,7.03398369369097e-05
6.55209423146314e-05,6.103829928906634e-05
6.572505372524676e-05,6.822131050284952e-05
6.589257871059493e-05,6.090864448924549e-05
6.60350434611448e-05,6.181905523408204e-05
6.613637073638124e-05,6.130986163043418e-05
6.623393132920481e-05,5.9986736363498495e-05
6.62881735414784e-05,6.16249346639961e-05
6.634443472527588e-05,6.461041187867523e-05
6.642675053121315e-05,7.086765114217997e-05
6.647612723625368e-05,6.56227843137458e-05
6.651011813018058e-05,6.538060819730163e-05
6.655532248421676e-05,7.093991385772824e-05
6.659388524712994e-05,6.313728139502928e-05
6.660730989339451e-05,7.067113887751475e-05
6.663886873543055e-05,6.366072362288833e-05
6.665874680361917e-05,6.91434642067179e-05
6.669006174585471e-05,7.028949179220945e-05
6.671226423673539e-05,6.379595925682224e-05
6.67186448441094e-05,6.349779132870026e-05
6.673591773465482e-05,6.485454918583856e-05
6.675871561876394e-05,6.879209261387587e-05
6.678024594051143e-05,7.064563245512545e-05
6.679611688660871e-05,6.706531211966649e-05
6.679814737678195e-05,6.721177726285532e-05
6.681422226312053e-05,7.029974542092532e-05
6.682967368720306e-05,6.594218168174848e-05
6.684136275564217e-05,7.104843069100753e-05
6.684764968748722e-05,6.379300190019421e-05
6.684172910819245e-05,7.13652175036259e-05
6.68654755443438e-05,6.463533599162475e-05
6.686087615606893e-05,7.166393887018785e-05
6.688216068626692e-05,6.574438442476094e-05
6.687517817287396e-05,7.232951262267306e-05
6.688792842517917e-05,6.541089346865193e-05
6.689074811422163e-05,7.101276481989771e-05
6.690786968425124e-05,7.021551375510171e-05
6.690900510228756e-05,7.022580067859962e-05
6.691449650356339e-05,6.57916400814429e-05
6.690542981959879e-05,6.406537358998321e-05
6.691690630395897e-05,7.005825435044244e-05
6.69273629771649e-05,6.906888901721685e-05
6.692828147465156e-05,6.544826837489382e-05
6.692717622758613e-05,6.67409633169882e-05
6.693286096884144e-05,6.4099073613761e-05
6.693532385139002e-05,7.040665100794286e-05
6.694931657855502e-05,6.570511678000912e-05
6.694051094948211e-05,6.580639642197638e-05
6.695184841131171e-05,7.006265874952077e-05
6.69576224237163e-05,7.001007912913337e-05
6.696163104303803e-05,6.539643299765885e-05
6.695450785466366e-05,6.407762662274763e-05
6.696345703676343e-05,6.564837961923331e-05
6.696779103044213e-05,6.946406653150915e-05
6.697730870089597e-05,6.489797099493444e-05
6.697147577587102e-05,6.532713543856517e-05
6.697789866787692e-05,6.627452041720972e-05
6.698686620155867e-05,6.77142848726362e-05
6.698439041954569e-05,6.375888464390301e-05
6.698472147238338e-05,6.523387564811855e-05
6.699341884814203e-05,6.519371713511645e-05
6.699236321987377e-05,6.59757794928737e-05
6.700181315601287e-05,6.98885908932425e-05
6.700774170328966e-05,6.582892348524183e-05
6.700227713574552e-05,6.518946622963995e-05
6.700708285077579e-05,7.155243889428675e-05
6.701957601277779e-05,6.638827244751155e-05
6.701119827468776e-05,6.466187187470496e-05
6.700935865390219e-05,6.729305715998635e-05
6.702321710246098e-05,6.896993273403496e-05
6.702620360172457e-05,6.534212443511933e-05
6.701914404725864e-05,6.595414341427386e-05
6.702308220944057e-05,6.724932591896504e-05
6.703629477285883e-05,7.06079684314318e-05
6.703734108143382e-05,6.573120557004586e-05
6.702581725160901e-05,6.616234761895612e-05
6.703033392033023e-05,6.325721001485363e-05
6.703235985737088e-05,7.074854959500954e-05
6.704491100713818e-05,6.577837327495217e-05
6.703851882937468e-05,6.709586293436587e-05
6.704424715523297e-05,6.857039325404912e-05
6.704975755160882e-05,6.78482860676013e-05
6.704929542158627e-05,7.188025832874701e-05
6.70575988608309e-05,6.479818903608248e-05
6.704539677593857e-05,6.674906221451237e-05
6.705227170863913e-05,6.595859327353537e-05
6.705147629448524e-05,7.057971466565504e-05
6.706219843666379e-05,6.603347603231668e-05
6.705260851110021e-05,6.918578286422417e-05
6.705794239597809e-05,6.558150862110779e-05
6.705609392116054e-05,7.013826136244461e-05
6.706970839554237e-05,7.00926459976472e-05
6.707054131159869e-05,6.915907247457653e-05
6.706991746452534e-05,6.972331181168556e-05
6.707253071039708e-05,6.962458259658887e-05
6.706819682019866e-05,6.545783276669681e-05
6.706845748057175e-05,6.905416888184845e-05
6.708003973795308e-05,7.103678968269378e-05
6.707848636304132e-05,6.675687507959083e-05
6.707177301480745e-05,6.574578728759661e-05
6.706754374964576e-05,6.587090436369181e-05
6.707181011895752e-05,6.470682856161148e-05
6.706830544862896e-05,6.657951138913632e-05
6.7080855958112e-05,6.866602326044813e-05
6.708284106571227e-05,6.443203595699743e-05
6.708081616347449e-05,7.166761806001887e-05
6.70898370574125e-05,7.004605460679158e-05
6.709353248718091e-05,7.000429998151958e-05
6.708950128975428e-05,6.546062114648521e-05
6.708797809228094e-05,6.867550301831216e-05
6.709446295604316e-05,7.003349548904225e-05
6.709989957097505e-05,6.981093133799732e-05
6.709844119096588e-05,6.603964947862551e-05
6.709266622136864e-05,6.859482539584861e-05
6.710018401241137e-05,6.943494360893964e-05
6.709688815883257e-05,6.713772867806256e-05
6.710138338773201e-05,6.95004434674047e-05
6.710373523593363e-05,6.384945582249202e-05
6.709506407302494e-05,6.63145626313053e-05
6.710343622964703e-05,7.003091328078881e-05
6.711202753811247e-05,6.993648305069655e-05
6.711143663980895e-05,6.950488500297069e-05
6.710461618301149e-05,6.811470608226955e-05
6.711078303245207e-05,7.012203941121697e-05
6.712122233067122e-05,6.904758646851406e-05
6.711250600508518e-05,6.613085564458743e-05
6.711041071038279e-05,6.653354351874441e-05
6.711364021369566e-05,7.143488293513655e-05
6.712383685064399e-05,6.474958691978827e-05
6.711089071662475e-05,6.551498977933078e-05
6.711132398211501e-05,6.701121968217193e-05
6.711579900648859e-05,6.65280387038365e-05
6.712028132622234e-05,6.92429436603561e-05
6.712165956074993e-05,6.662456318736077e-05
6.71154081614481e-05,6.512522342381998e-05
6.71212195367035e-05,7.051304692868143e-05
6.71322728610701e-05,6.975168210919946e-05
6.713097362403964e-05,6.899016897659749e-05
6.712821854226705e-05,6.51834262534976e-05
6.712426144319275e-05,7.109477429185063e-05
6.713477344924791e-05,7.178759179078042e-05
6.713873299304395e-05,7.007634488400072e-05
6.713960321697716e-05,6.587702920660376e-05
6.713547942409706e-05,6.952260481193662e-05
6.713637038936011e-05,6.542693864321336e-05
6.712863319100708e-05,6.634953327011316e-05
6.713672821772182e-05,6.546555319800972e-05
6.713868823135272e-05,6.942847382742912e-05
6.714451243816358e-05,6.803748122183606e-05
6.7137205953865e-05,6.68169519631192e-05
6.714416875426347e-05,6.807447044411674e-05
6.714365461892965e-05,6.578228587750346e-05
6.714297915782986e-05,7.018065900774672e-05
6.714846251998096e-05,6.605094124097377e-05
6.714280730294478e-05,6.662775913719088e-05
6.714411878622034e-05,6.716528494143858e-05
6.714988591718591e-05,6.548544141696766e-05
6.714471668884571e-05,6.854561920044943e-05
6.715476118390345e-05,6.933171657146886e-05
6.715505237096092e-05,6.57006879337132e-05
6.71485237027001e-05,6.598143238807098e-05
6.714859599661496e-05,6.567863980308175e-05
6.715191777200541e-05,6.68465323979035e-05
6.715085551453133e-05,6.681492150528357e-05
6.715742391922201e-05,6.863419548608363e-05
6.715891232791667e-05,6.618858984438702e-05
6.715947086276073e-05,6.971876986790448e-05
6.716457897305695e-05,6.515276426216587e-05
6.715514664150153e-05,6.54337159357965e-05
6.716148489310096e-05,6.91894106566906e-05
6.716574169048626e-05,6.53345879400149e-05
6.71572332115223e-05,6.58282731892541e-05
6.715969550552675e-05,6.52645697700791e-05
6.716414984031063e-05,6.547021417645738e-05
6.716194699725343e-05,6.615809054346755e-05
6.715830288077188e-05,6.535442499443889e-05
6.716547916746802e-05,6.862871831981465e-05
6.717199714492179e-05,6.407012994168326e-05
6.716740836984375e-05,7.030975777888671e-05
6.717675897784324e-05,6.621739052934573e-05
6.717081414535642e-05,6.563977134646848e-05
6.717026871370359e-05,6.63681928999722e-05
6.717040568926476e-05,6.517977698240429e-05
6.717266481266254e-05,6.660184683278203e-05
6.717446340351469e-05,7.007879699813202e-05
6.718004641071376e-05,6.403387244790792e-05
6.717108080111857e-05,7.069448009133338e-05
6.71800557239395e-05,6.58915025414899e-05
6.717411840670846e-05,6.48321988992393e-05
6.717622842148153e-05,6.704337731935084e-05
6.717993740716742e-05,7.02731316559948e-05
6.718887088613378e-05,7.008790469262749e-05
6.718648479242498e-05,6.544295564526691e-05
6.718278599307975e-05,6.891689397161826e-05
6.719261530088261e-05,7.04468775074929e-05
6.719715483874704e-05,7.006199413444847e-05
6.719288938782282e-05,6.884775491198525e-05
6.719190197893315e-05,7.044076599413529e-05
